t,Q05_S_p,Q25_S_p,Mean_S_p,Q75_S_p,Q95_S_p,Q05_I_p,Q25_I_p,Mean_I_p,Q75_I_p,Q95_I_p,Q05_I_v,Q25_I_v,Mean_I_v,Q75_I_v,Q95_I_v
0.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0
1.0,8.867950250773015,14.000417870137358,19.13832892707707,23.6006520932456,31.619660212864094,14.871185080556222,16.586661865473882,17.647706618188526,18.773839121822103,20.21182149424063,1.4188096059847257,2.2104292716628806,3.3140856070692504,4.074982312013888,6.215557766144208
2.0,5.8121360411936225,9.839805902867717,14.833087954445794,18.69313816028909,27.50526851713602,28.398333816456255,31.661214891814172,33.235704832733255,35.15826596385848,36.97457512032599,0.8049697382365092,1.4988971246893097,2.8390012383146215,3.590414430898226,6.561067325311187
3.0,5.915623167155553,11.093582453844167,17.02733693198547,21.849222664036876,31.602651101321328,34.65446518733877,39.05044710984959,40.97790120218984,43.46087182412657,45.513903057387466,0.5002250845431634,1.06871854504622,2.4456926616863877,3.049957823712345,6.55837824992087
4.0,6.251920406534528,12.837726163279081,20.385755124323975,26.78157424370207,38.35974883243526,36.01132382537246,41.519663900366325,43.998186062263855,47.13785008505281,49.83978293944492,0.32383736969342725,0.7658645801010228,2.1197885002818273,2.564487524897878,6.328642367983115
5.0,6.643486943552995,14.785036980102118,24.09626115064911,32.17894532757857,45.43458259870965,34.581011264230725,41.17757689171048,44.46211279959054,48.4833063639097,51.88677566535138,0.22625707331428518,0.5686694583750618,1.8383269816290344,2.1805115607755634,5.797545930161621
6.0,7.395689548949332,17.051545658363825,27.97430394367021,37.76495817304799,51.984489217331266,31.872270628861216,39.31623798993339,43.59957724774923,48.5887630006596,52.754388829027974,0.15578391203863662,0.42990050211201003,1.5687008870910204,1.849091239583361,5.197030920803927
7.0,8.180496261401412,19.608595088085963,31.93833519843229,43.253597312401304,58.5863594654236,28.49318855864445,36.962134061942145,42.04749671862009,47.89135623503351,52.97046441872036,0.11259753502966134,0.31852033455839973,1.3484626458195028,1.5175844368293594,4.617583487840732
8.0,9.23753186036461,22.68718185889154,35.99583518499312,48.99858537967684,64.54335194226475,25.074786170077644,33.92309537047562,40.07991436781364,46.79292691494255,52.85733045147467,0.08157782863594071,0.24136972068234386,1.149229111579152,1.2195756920953786,4.011077827867231
9.0,10.075979938664426,25.721383654543065,39.97204764472478,54.32154038200947,69.78338023677276,21.846212638560843,30.9264481011006,37.938043075732956,45.35652587052793,52.43581890166348,0.06296749965602948,0.18900885261507636,0.988230939275201,1.0248196202609834,3.5900987683454115
10.0,11.435250253250487,28.89638503538252,43.78188838558755,59.25051322392836,74.11220419985351,18.764809612771458,27.976954440303423,35.78261028127511,43.858630923105906,51.9031313757328,0.04895340183160522,0.14822558053133403,0.8587265680277517,0.8550815933725567,3.120815719087402
11.0,12.495004069955078,32.293229507388595,47.52983012126512,63.76738898705377,77.99570707688042,15.961203941610451,25.002148909836308,33.581525352989665,42.13958145965439,51.360360364500266,0.04032202276770184,0.11768149617090427,0.7570188837785361,0.7156894450676616,2.7883148461393383
12.0,13.924329107014833,35.866009429113824,51.09537824930297,67.9786549593508,81.22288324474464,13.686082830490685,22.29598962664705,31.448130284271873,40.29391528049789,50.67108300096541,0.033032934018078206,0.09489948352783578,0.6559280413266755,0.5920146637207948,2.356521820973229
13.0,16.016950572117683,39.60990429279381,54.622638958363204,71.92956564967882,83.94846607571732,11.579251302290183,19.67217628281841,29.318559929059816,38.01998029654745,50.0243920587233,0.027263204832646718,0.07884561286147164,0.5824944438733689,0.4890700478871253,2.0863137483170893
14.0,18.246418065609237,43.295726725053854,57.96262945867821,75.18159080059019,86.27865170852186,10.049106731285262,17.458244189022427,27.25948782271822,36.0712881328495,48.974144041913576,0.023244732894732608,0.0661834513985158,0.5065764805563632,0.40911261899846846,1.7149772304969708
15.0,20.20969225242774,46.63946856120513,60.999092790743454,77.91725761357817,88.25250754293744,8.50466435086105,15.563990137886238,25.347704556399712,34.040807614237174,47.66712688301116,0.020477920954813152,0.05678941770980981,0.43303849722257665,0.3428673346257785,1.5238571731085127
16.0,22.745512841817607,50.58891986182658,63.82882862286305,80.6108104162126,89.77127023497333,7.393185326369617,13.739772911370792,23.520637503696847,31.91071992329866,46.54748180915492,0.01829913770332989,0.049284737814504216,0.38642702442532356,0.29328198730395805,1.2615102325870817
17.0,25.585961955953817,54.12357767049314,66.43194793716542,82.81736963664756,91.19849224984819,6.322748198418457,12.074383841799284,21.815547769402876,29.64383768730268,45.231994332521786,0.016766757092648518,0.044183183699030494,0.34975026050665114,0.2520203844480142,1.1177168046021242
18.0,27.659917231382508,57.390196277369405,68.82402534646454,84.53037197909359,92.14327354969527,5.546128089471632,10.713886551472473,20.256737894056034,27.628086796346896,43.75227687851722,0.01540110562554995,0.03957114248799777,0.28065626391821225,0.2170408611188349,0.9727123706043498
19.0,30.043917370249368,60.73338285592848,71.0027608881435,86.12694724796316,93.01139620226492,4.862713697905411,9.583420770410008,18.811706382515982,25.709774888392307,42.211030506778286,0.013891120027603749,0.03567123202895835,0.239312566141775,0.1941366015616041,0.8617720447479728
20.0,32.627559043878996,63.67223095878361,73.00471563197604,87.46193723386033,93.86552479399887,4.250042853564927,8.546647975893423,17.474074505487007,23.82247223289007,40.84049632532446,0.01281063117318155,0.03219225638564445,0.20854931628942,0.16996949985541265,0.7633582437656934
