"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"theta[1]",0.0959320216735906,3.73140196355653e-05,0.00365542111386376,0.0865444162105599,0.0941906134072923,0.0969604275719508,0.0986907414332494,0.0998847762310456,9596.89538357358,1.00003482958641
"theta[2]",0.00524169688256368,3.60237103309426e-05,0.00360174580608635,0.00158674965324213,0.00294301593139592,0.00428736098000869,0.0063699978253531,0.0147979513669929,9996.52910405391,1.00005698655576
"theta[3]",0.00679880253777333,5.06551181086462e-05,0.00493514548189493,0.00176598867235888,0.00339876409317353,0.00525485113507018,0.00853055604425265,0.0212080217997045,9491.90219754987,0.999875826873309
"theta[4]",0.727757206084255,0.00126709093547643,0.127526628709149,0.498819768927628,0.63198338245788,0.722345540805465,0.821646376479707,0.973922382392017,10129.4575682095,0.999736833788863
"theta[5]",0.00581407803549294,2.592188951763e-05,0.00260141348368186,0.00093537092498364,0.00394585118390521,0.00574026174321845,0.00754383776189458,0.0112191148151197,10071.2983910054,0.999849644858449
"theta[6]",0.15,0,0,0.15,0.15,0.15,0.15,0.15,2.50187640730539,0.999499874937461
"theta[7]",0.15,0,0,0.15,0.15,0.15,0.15,0.15,2.50187640730539,0.999499874937461
"theta[8]",0.399655335891089,0.000528042282693495,0.0535941666676876,0.303330583229673,0.362428293852144,0.396072280952054,0.434143518539426,0.512475432753987,10301.4330736291,0.999770458566058
"theta[9]",1,NA,0,1,1,1,1,1,NA,NA
"theta[10]",51.1439549763035,0.0120241170929985,1.18522218519473,50.0279246665973,50.3300817750141,50.7671488054534,51.5684795453776,54.3568522431318,9716.12627599377,0.999975307421372
"R_0",0.411891806134476,0.0034645486886324,0.340747377767479,0.0398710367958281,0.171464238612903,0.317328191510783,0.553257758258146,1.32353498816041,9673.23429091881,0.999849296798882
"y_init[1]",934,NA,0,934,934,934,934,934,NA,NA
"y_init[2]",65,NA,0,65,65,65,65,65,NA,NA
"y_init[3]",1,NA,0,1,1,1,1,1,NA,NA
"y_init[4]",30143.9549763035,12.0241170929985,1185.22218519473,29027.9246665973,29330.0817750141,29767.1488054534,30568.4795453776,33356.8522431318,9716.12627599367,0.999975307421372
"y_init[5]",1000,NA,0,1000,1000,1000,1000,1000,NA,NA
"y_init[6]",20000,NA,0,20000,20000,20000,20000,20000,NA,NA
"y_init[7]",1,NA,0,1,1,1,1,1,NA,NA
