"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"theta[1]",0.03342309742764,5.45070316503946e-05,0.00541537783334425,0.0238601258143568,0.0296409558851184,0.0330807387739547,0.0368114611698228,0.0449366135882697,9870.80249618922,0.999942950070087
"theta[2]",0.0104935284874543,1.38816821684193e-05,0.00135306982615212,0.00839650011611309,0.00931503483904018,0.0104045482742038,0.0116345425978891,0.0128710605892368,9500.71357198203,0.999843089466139
"theta[3]",0.0107686565967335,1.3243090068538e-05,0.00134395234863738,0.00845726769553212,0.00961670876466305,0.0108137346202692,0.0119408359991587,0.0128927533015952,10298.8581295426,1.00012114968419
"theta[4]",0.0610378839748969,7.71726999707357e-05,0.00753714909417407,0.0506165881661652,0.0550708372445146,0.0598346474667449,0.0656312822601897,0.0787238835079051,9538.6480086426,1.0000298864559
"theta[5]",0.00999374423557186,9.76599290827857e-06,0.000998262724066434,0.00803832775908943,0.00931898983977953,0.00999528629698272,0.0106771838660402,0.0119539848075236,10448.5710406335,1.00040744536282
"theta[6]",0.03,0,0,0.03,0.03,0.03,0.03,0.03,2.50187640730539,0.999499874937461
"theta[7]",0.03,0,0,0.03,0.03,0.03,0.03,0.03,2.50187640730539,0.999499874937461
"theta[8]",0.4,0,0,0.4,0.4,0.4,0.4,0.4,2.50187640730539,0.999499874937461
"theta[9]",1,NA,0,1,1,1,1,1,NA,NA
"R_0",0.664392742414438,0.000739181123944207,0.0745469253830602,0.532223486123999,0.611435174763411,0.659389455364302,0.712429584688324,0.821975410305993,10170.8614001439,1.00001995247
"y_init[1]",907.98338833475,0.203646376730567,20.0991089779131,868.198847321192,894.575229475204,907.87849935178,921.577935891251,947.553498520627,9740.92579208728,0.999943195703293
"y_init[2]",87.0166116652503,0.203646376730567,20.0991089779131,47.4465014793728,73.422064108749,87.1215006482196,100.424770524796,126.801152678808,9740.92579208733,0.999943195703293
"y_init[3]",5,NA,0,5,5,5,5,5,NA,NA
"y_init[4]",1000,NA,0,1000,1000,1000,1000,1000,NA,NA
"y_init[5]",40000,NA,0,40000,40000,40000,40000,40000,NA,NA
"y_init[6]",9000,NA,0,9000,9000,9000,9000,9000,NA,NA
"y_init[7]",5.57687023064048,0.047424678294297,4.66035840084268,0.229263227157755,2.24354332927184,4.50466045157258,7.6536797591268,17.788934122718,9656.72462288999,1.00006992301691
