"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"theta[1]",0.00771956042197104,3.36142168358397e-06,0.000672568215013996,0.0064401326266123,0.00725612481786206,0.00770778837351844,0.00816884242170667,0.00907418532489171,40033.7878741857,0.999963791888571
"theta[2]",0.000498736699869692,4.9570958948356e-07,0.000100284530057801,0.000301121773499026,0.000430804476426985,0.000498541773473133,0.000566443047736629,0.000694760186821692,40927.314296129,0.999929260179535
"theta[3]",0.000486499228711226,4.97982419331024e-07,9.9997699706865e-05,0.000289880967346491,0.000418897875696375,0.000486876926136201,0.000554245401181889,0.0006825487400893,40322.9222211467,0.999940306264443
"theta[4]",0.518354928445748,0.001008302432488,0.201136682894249,0.199769946354322,0.358491165862794,0.495268402401577,0.660741488037702,0.937887652846596,39792.4736432571,0.999998122677162
"theta[5]",0.000260605213301653,6.05226158484836e-07,0.000121114452077435,0.000106310918023171,0.000164031299858166,0.000236287013523954,0.00033113084569604,0.000550585622392544,40045.7615200693,1.00004220584342
"theta[6]",0.15,0,0,0.15,0.15,0.15,0.15,0.15,2.00030004500651,0.9998999949995
"theta[7]",0.15,0,0,0.15,0.15,0.15,0.15,0.15,2.00030004500651,0.9998999949995
"theta[8]",0.4,0,0,0.4,0.4,0.4,0.4,0.4,2.00030004500647,0.9998999949995
"theta[9]",1,NA,0,1,1,1,1,1,NA,NA
"R_0",0.014442300772345,3.91783735598154e-05,0.00786531132337446,0.00499248404646569,0.00864452031940656,0.0126398212487095,0.0182908535211834,0.0341456096569633,40303.1535563877,0.999956554304881
"y_init[1]",999.8,0,0,999.8,999.8,999.8,999.8,999.8,2.00030004500643,0.9998999949995
"y_init[2]",0.1,0,0,0.1,0.1,0.1,0.1,0.1,2.00030004500647,0.9998999949995
"y_init[3]",0.1,0,0,0.1,0.1,0.1,0.1,0.1,2.00030004500647,0.9998999949995
"y_init[4]",15,NA,0,15,15,15,15,15,NA,NA
"y_init[5]",0,NA,0,0,0,0,0,0,NA,NA
"y_init[6]",985,NA,0,985,985,985,985,985,NA,NA
"y_init[7]",0.1,0,0,0.1,0.1,0.1,0.1,0.1,2.00030004500647,0.9998999949995
